              Procedure           Image            Address        Calls Instructions
               _dl_addr       libc.so.6       7feea6675270            1        71449
                   sbrk       libc.so.6       7feea662a2b0            2           51
                    brk       libc.so.6       7feea662a250            2           22
                  write       libc.so.6       7feea6624040            1            9
                   read       libc.so.6       7feea6623fa0            2           16
                 open64       libc.so.6       7feea6623cc0            1           34
             __fxstat64       libc.so.6       7feea66234e0            2           22
                  _exit       libc.so.6       7feea65f9100            1            9
     __default_morecore       libc.so.6       7feea65b2d00            2           16
                 malloc       libc.so.6       7feea65b0260            3          106
     _IO_default_xsputn       libc.so.6       7feea65a8130            1          336
      _IO_default_uflow       libc.so.6       7feea65a80d0            2           46
         _IO_doallocbuf       libc.so.6       7feea65a8000            2           52
               _IO_setb       libc.so.6       7feea65a7fa0            2           50
                __uflow       libc.so.6       7feea65a7db0            2           76
 _IO_switch_to_get_mode       libc.so.6       7feea65a7a80            2           50
            _IO_link_in       libc.so.6       7feea65a7560            2          104
      _IO_file_overflow       libc.so.6       7feea65a6f00           18          621
     _IO_file_underflow       libc.so.6       7feea65a6ba0            2          128
           _IO_do_write       libc.so.6       7feea65a6a20            2           67
         _IO_file_fopen       libc.so.6       7feea65a6260            1           56
          _IO_file_open       libc.so.6       7feea65a6170            1           33
        _IO_file_xsputn       libc.so.6       7feea65a5750            3          253
          _IO_file_read       libc.so.6       7feea65a5720            2           12
         _IO_file_write       libc.so.6       7feea65a4fe0            1           37
          _IO_file_stat       libc.so.6       7feea65a4fc0            2           10
        _IO_file_setbuf       libc.so.6       7feea65a46b0            2           28
          _IO_file_sync       libc.so.6       7feea65a4540            2           36
            _IO_getline       libc.so.6       7feea6599ae0            1            3
       _IO_getline_info       libc.so.6       7feea6599940            1           86
              _IO_fopen       libc.so.6       7feea6598a90            1           42
                  fgets       libc.so.6       7feea65987b0            1           72
    _IO_file_doallocate       libc.so.6       7feea6597df0            2          114
             _IO_printf       libc.so.6       7feea6577e10            1           30
       __call_tls_dtors       libc.so.6       7feea655d400            1           12
         __cxa_finalize       libc.so.6       7feea655d090            1           58
           __cxa_atexit       libc.so.6       7feea655cf60            1           36
                   exit       libc.so.6       7feea655cbc0            1            8
                _setjmp       libc.so.6       7feea6558e00            1            3
            __sigsetjmp       libc.so.6       7feea6558d30            1           31
           __ctype_init       libc.so.6       7feea654a460            1           17
      __libc_start_main       libc.so.6       7feea6539fc0            1           59
                  _init       libc.so.6       7feea6539f30            1           22
               .plt.sec       libc.so.6       7feea6538340            0           44
               .plt.got       libc.so.6       7feea6538300            0            6
                   .plt       libc.so.6       7feea6538000            2           10
    _dl_catch_exception ld-linux-x86-64.so.2       7feeb9f7abb0            2           70
                   free ld-linux-x86-64.so.2       7feeb9f7a560            1            5
                 calloc ld-linux-x86-64.so.2       7feeb9f7a520            9           81
                 malloc ld-linux-x86-64.so.2       7feeb9f7a400           18          476
      __tunable_get_val ld-linux-x86-64.so.2       7feeb9f77540           20          391
_dl_find_dso_for_object ld-linux-x86-64.so.2       7feeb9f72480            1           43
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7feeb9f71770            1           85
        _dl_debug_state ld-linux-x86-64.so.2       7feeb9f6f1d0            2            4
                  .text ld-linux-x86-64.so.2       7feeb9f5e100            1         5111
               .plt.sec ld-linux-x86-64.so.2       7feeb9f5e090            2           58
               .plt.got ld-linux-x86-64.so.2       7feeb9f5e080            1            2
                  _fini            test       563c7e2cc298            1            4
        __libc_csu_init            test       563c7e2cc220            1           34
                   main            test       563c7e2cc1a9            1           24
            frame_dummy            test       563c7e2cc1a0            1            2
  __do_global_dtors_aux            test       563c7e2cc160            1           13
     register_tm_clones            test       563c7e2cc120            1           10
   deregister_tm_clones            test       563c7e2cc0f0            1            5
                 _start            test       563c7e2cc0c0            1           12
               .plt.sec            test       563c7e2cc080            0            6
               .plt.got            test       563c7e2cc070            1            2
                  _init            test       563c7e2cc000            1            7
